keyword,description,category,datatype,comment,hdu,missions,mandatory,content,relevance_score,relevance_comment,user_comment
ZEROFRAM,Zero frame was read separately (T or F),Exposure,boolean,Zero frame was downlinked separately,PRIMARY,JWST,False,"This boolean keyword indicates whether a 'zero frame' was read out separately from the main exposure. A zero frame is a short exposure taken without light to characterize detector noise and bias, and its separate readout can impact subsequent data processing steps.",40,"This keyword describes a specific detector readout mode related to calibration, making it relevant for users involved in detailed data processing or quality assessment.",
EXSEGTOT,Total number of segments in a TSO single exposure,Exposure,integer,total number segments,PRIMARY,JWST,False,"For observations that are split into multiple parts, such as in Time-Series Observations (TSO), this keyword indicates the total number of segments that comprise the complete single exposure. It helps users understand the full scope of a multi-part observation.",75,"This keyword provides crucial context for segmented observations, helping users understand the total scope of a TSO exposure.",
EXSEGNUM,Sequential segment number within a TSO single exposure,Exposure,integer,sequential segment number,PRIMARY,JWST,False,"This keyword provides the sequential segment number of the current data file within a multi-segment Time-Series Observation (TSO) exposure. It helps identify which specific part of a larger observation this particular file represents, crucial for ordering and analysis.",75,This keyword is essential for identifying and ordering individual data segments within a larger Time-Series Observation.,
INTSTART,Number of the first integration in a segmented exposure product,Exposure,integer,Starting integration number in this segment,PRIMARY,JWST,False,"This keyword specifies the starting integration number included within this particular segmented exposure product. Integrations are individual detector reads that are often combined to form an exposure, and this defines the beginning of the data sequence.",70,"This keyword is valuable for defining the precise range of integrations included in a data segment, aiding in the detailed analysis of segmented exposures.",
INTEND,Number of the last integration in a segmented exposure product,Exposure,integer,Ending integration number in this segment,PRIMARY,JWST,False,"This keyword specifies the ending integration number included within this particular segmented exposure product. It, along with INTSTART, defines the full range of detector integrations present in the current data segment.",70,"This keyword complements INTSTART by defining the upper bound of integrations in a data segment, critical for time-series analysis and data subsetting.",
OSF_FILE,Observatory Status File name for this exposure,Exposure,string,Observatory Status File name,PRIMARY,JWST,False,"This keyword provides the filename of the Observatory Status File that was associated with this specific exposure. This file contains detailed engineering and health data about the observatory at the time of observation, used primarily for complex calibration or diagnostic purposes.",30,This keyword references an internal diagnostic file primarily useful for instrument teams or specialized calibration processes.,
EXPSTENG,UTC exposure start time from engineering data stream,Exposure,string,UTC exposure start time from engineering data,PRIMARY,JWST,False,"This keyword records the precise start time of the exposure as reported by the spacecraft's engineering data stream, expressed in Coordinated Universal Time (UTC). It provides an independent, highly accurate timestamp for when the observation began.",70,"This provides a highly precise engineering start time, which is valuable for advanced users performing detailed timing analysis or cross-referencing.",
ORIGIN,Institution that created the FITS file,Program,string,institution responsible for creating FITS file,PRIMARY,FITS Standard; JWST; HST; TESS; Kepler; GALEX; Pan-STARRS,False,"This keyword identifies the institution or organization that originally created or processed this FITS file. It helps users trace the provenance and source of the data, which can be useful for understanding data processing pipelines or for citation purposes.",60,"This keyword provides important provenance information, which is useful for data attribution and understanding its source.",
TELESCOP,Telescope used to acquire the data,Instrument,string,telescope used to acquire the data,PRIMARY,FITS Standard; JWST; HST; TESS; Kepler; K2; GALEX; Spitzer; Chandra; Pan-STARRS; SwiftUVOT; XMM-OM,False,"This keyword identifies the specific telescope facility used to collect the astronomical data. Knowing the telescope is fundamental for understanding the data's origin, capabilities, and observing conditions.",95,Essential for users to understand the origin and capabilities of the observed data.,
INSTRUME,Instrument used to acquire the data,Instrument,string,Instrument used to acquire the data,PRIMARY,FITS Standard; JWST; HST; TESS; Kepler; K2; GALEX; Spitzer; Chandra; SwiftUVOT; XMM-OM,False,"This keyword specifies the particular instrument on the telescope that was used for the observation. Different instruments have unique fields of view, sensitivities, and operating modes, which are crucial for interpreting the data.",90,Essential for users to understand how the data was acquired and its specific characteristics.,
